date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:10:49	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
02:10:49	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
02:10:50	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
02:10:50	6816/6816	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
02:10:51	9696/9696	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
02:10:51	7244/7244	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
02:10:52	8248/8248	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
02:10:53	5784/5784	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
02:10:53	15016/15016	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
02:10:54	15948/15948	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
